From	To	Species	Gene Name
855228	855228	Saccharomyces cerevisiae S288C	ATP-dependent DNA helicase SGS1(SGS1)
851475	851475	Saccharomyces cerevisiae S288C	ATP-dependent RNA helicase SUB2(SUB2)
856912	856912	Saccharomyces cerevisiae S288C	polyadenylate-binding protein(PAB1)
854690	854690	Saccharomyces cerevisiae S288C	histidinol-phosphate transaminase(HIS5)
854105	854105	Saccharomyces cerevisiae S288C	adenosylmethionine decarboxylase SPE2(SPE2)
856175	856175	Saccharomyces cerevisiae S288C	cytosine deaminase(FCY1)
853541	853541	Saccharomyces cerevisiae S288C	dioxygenase BNA2(BNA2)
854371	854371	Saccharomyces cerevisiae S288C	putative lipoate synthase(LIP5)
856466	856466	Saccharomyces cerevisiae S288C	exosome non-catalytic core subunit RRP4(RRP4)
853810	853810	Saccharomyces cerevisiae S288C	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH)(OAR1)
856608	856608	Saccharomyces cerevisiae S288C	exopolyphosphatase(PPX1)
852672	852672	Saccharomyces cerevisiae S288C	bifunctional 2-aminoadipate transaminase/aromatic-amino-acid:2-oxoglutarate transaminase(ARO8)
854825	854825	Saccharomyces cerevisiae S288C	DNA primase subunit PRI1(PRI1)
852307	852307	Saccharomyces cerevisiae S288C	bifunctional UDP-glucose 4-epimerase/aldose 1-epimerase(GAL10)
850755	850755	Saccharomyces cerevisiae S288C	signal peptidase complex subunit SPC3(SPC3)
853653	853653	Saccharomyces cerevisiae S288C	tetrafunctional fatty acid synthase subunit FAS1(FAS1)
855399	855399	Saccharomyces cerevisiae S288C	cleavage polyadenylation factor subunit PFS2(PFS2)
852554	852554	Saccharomyces cerevisiae S288C	bifunctional dITP/dUTP diphosphatase(DUT1)
855291	855291	Saccharomyces cerevisiae S288C	glutamate decarboxylase GAD1(GAD1)
851659	851659	Saccharomyces cerevisiae S288C	translocon subunit SSS1(SSS1)
853230	853230	Saccharomyces cerevisiae S288C	aconitate hydratase ACO2(ACO2)
853532	853532	Saccharomyces cerevisiae S288C	nucleoside triphosphate pyrophosphohydrolase HAM1(HAM1)
850370	850370	Saccharomyces cerevisiae S288C	phosphoglycerate kinase(PGK1)
851699	851699	Saccharomyces cerevisiae S288C	DNA polymerase epsilon noncatalytic subunit(DPB4)
856548	856548	Saccharomyces cerevisiae S288C	deoxycytidine monophosphate deaminase(DCD1)
852813	852813	Saccharomyces cerevisiae S288C	NAD(+) diphosphatase(NPY1)
854661	854661	Saccharomyces cerevisiae S288C	pantoate--beta-alanine ligase PAN6(PAN6)
851311	851311	Saccharomyces cerevisiae S288C	glutamate dehydrogenase (NAD(+))(GDH2)
852412	852412	Saccharomyces cerevisiae S288C	L-aminoadipate-semialdehyde dehydrogenase(LYS2)
852481	852481	Saccharomyces cerevisiae S288C	phytoceramidase(YPC1)
854501	854501	Saccharomyces cerevisiae S288C	glutamate-5-semialdehyde dehydrogenase(PRO2)
855845	855845	Saccharomyces cerevisiae S288C	trifunctional fatty acid synthase subunit FAS2(FAS2)
856659	856659	Saccharomyces cerevisiae S288C	H(+)-transporting V1 sector ATPase subunit D(VMA8)
850327	850327	Saccharomyces cerevisiae S288C	trifunctional histidinol dehydrogenase/phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase(HIS4)
852456	852456	Saccharomyces cerevisiae S288C	ketoreductase(IFA38)
856147	856147	Saccharomyces cerevisiae S288C	glutamate--ammonia ligase(GLN1)
