From	To	Species	Gene Name
SPE2	854105	Saccharomyces cerevisiae S288C	adenosylmethionine decarboxylase SPE2(SPE2)
SPE2	4840633	Scheffersomyces stipitis CBS 6054	S-adenosylmethionine decarboxylase(SPE2)
SPE2	3644116	Candida albicans SC5314	S-adenosylmethionine decarboxylase(SPE2)
SPE2	2541338	Schizosaccharomyces pombe 972h-	S-adenosylmethionine decarboxylase proenzyme Spe2(spe2)
SPE2	3644194	Candida albicans SC5314	S-adenosylmethionine decarboxylase(SPE2)
SPE2	110346	Mus musculus	salivary protein electrophoretic 2(Spe2)
GDH2	3642295	Candida albicans SC5314	NAD-glutamate dehydrogenase(GDH2)
GDH2	100136533	Salmo salar	glutamate dehydrogenase(gdh2)
GDH2	851311	Saccharomyces cerevisiae S288C	glutamate dehydrogenase (NAD(+))(GDH2)
GDH2	25777378	Trichoderma atroviride IMI 206040	glutamate dehydrogenase(gdh2)
GDH2	2539148	Schizosaccharomyces pombe 972h-	NAD-dependent glutamate dehydrogenase Gdh2 (predicted)(gdh2)
GDH2	547688	Glycine max	glutamate dehydrogenase 2(GDH2)
GDH2	24533562	Plasmodium reichenowi	NADP-specific glutamate dehydrogenase, putative(GDH2)
GDH2	5727809	Chlamydomonas reinhardtii	glutamate dehydrogenase(GDH2)
GDH2	4839659	Scheffersomyces stipitis CBS 6054	NAD-specific glutamate dehydrogenase(GDH2)
GDH2	3642396	Candida albicans SC5314	NAD-glutamate dehydrogenase(GDH2)
GDH2	100136067	Oncorhynchus mykiss	glutamate dehydrogenase(gdh2)
GDH2	830635	Arabidopsis thaliana	glutamate dehydrogenase 2(GDH2)
ARO8	4836642	Scheffersomyces stipitis CBS 6054	aromatic amino acid aminotransferase(ARO8)
ARO8	852672	Saccharomyces cerevisiae S288C	bifunctional 2-aminoadipate transaminase/aromatic-amino-acid:2-oxoglutarate transaminase(ARO8)
ARO8	17361867	Nannochloropsis gaditana CCMP526	aromatic amino acid aminotransferase I(ARO8)
ARO8	3638828	Candida albicans SC5314	Aromatic amino acid aminotransferase I(ARO8)
ARO8	3638758	Candida albicans SC5314	Aromatic amino acid aminotransferase I(ARO8)
DUT1	3639915	Candida albicans SC5314	dUTP pyrophosphatase gene isolated by genetic complementation in S. cerevisiae.(DUT1)
DUT1	4851036	Scheffersomyces stipitis CBS 6054	Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (dUTP pyrophosphatase)(DUT1)
DUT1	823847	Arabidopsis thaliana	DUTP-PYROPHOSPHATASE-LIKE 1(DUT1)
DUT1	852554	Saccharomyces cerevisiae S288C	bifunctional dITP/dUTP diphosphatase(DUT1)
DUT1	3640188	Candida albicans SC5314	dUTP pyrophosphatase gene isolated by genetic complementation in S. cerevisiae.(DUT1)
PPX1	828779	Arabidopsis thaliana	protein phosphatase X 1(PPX1)
PPX1	9305665	Arabidopsis lyrata subsp. lyrata	protein phosphatase x-1(PPX1)
PPX1	3644205	Candida albicans SC5314	exopolyphosphatase(PPX1)
PPX1	1061359	Lactobacillus plantarum WCFS1	exopolyphosphatase(ppx1)
PPX1	7442648	Thalassiosira pseudonana CCMP1335	protoporphyrinogen IX oxidase usually abbreviated(Ppx1)
